Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,PV_Panels,bomCost,Angle,BattX,BattZ,CompX,CompZ,GyroX,GyroZ
None,None,None,None,None,None,None,None,None,2,209066.0,179.75815043,35.0596242772,207.150669514,-178.425710253,-267.868093567,418.2033603,19.6532764668
None,None,None,None,None,None,None,None,None,2,209066.0,178.032387952,-8.01833400006,245.722237326,-919.041258911,-363.923277827,-951.030618698,-34.5238630229
None,None,None,None,None,None,None,None,None,2,209066.0,178.168703444,710.837703716,206.525447348,-517.39715773,-364.562429233,-237.434763113,-29.2089036044
None,None,None,None,None,None,None,None,None,2,209066.0,178.481551657,642.984562211,183.221403044,-546.719596907,-187.053458556,452.180726807,46.4047127392
None,None,None,None,None,None,None,None,None,2,209066.0,179.77883112,-474.238944588,237.845277983,-842.310591932,-369.572955625,-607.921399807,4.37684180225
None,None,None,None,None,None,None,None,None,2,209066.0,179.739609581,655.458987274,194.83105119,419.63619647,-373.622971946,-396.476466953,4.81721157317
None,None,None,None,None,None,None,None,None,2,209066.0,178.869197011,711.909147152,291.268975941,-118.651102353,-304.395813974,-138.782671062,-15.339674153
None,None,None,None,None,None,None,None,None,2,209066.0,178.329469835,-363.81106677,274.45962842,732.098442101,-232.534244466,387.986818599,27.5612291127
None,None,None,None,None,None,None,None,None,2,209066.0,178.840714905,385.305910843,187.20439267,865.792683671,-383.478202602,-615.918003715,24.7767901359
None,None,None,None,None,None,None,None,None,2,209066.0,179.850416661,885.706290056,276.076721904,134.384363025,-211.142503556,873.218800063,15.3819250314
None,None,None,None,None,None,None,None,None,2,209066.0,178.3868618,-721.71137729,251.317449692,943.172619518,-277.390987636,-894.463683778,36.212690309
None,None,None,None,None,None,None,None,None,2,209066.0,178.954891257,729.86621933,181.476024311,-420.05955222,-330.079230914,186.759476295,-38.9010601738
None,None,None,None,None,None,None,None,None,2,209066.0,179.775109225,-937.482664892,170.775637756,277.698188931,-202.305430691,150.981886896,33.2836659685
None,None,None,None,None,None,None,None,None,2,209066.0,179.118246008,22.5970643935,163.982487399,729.918257459,-235.708929846,691.999333483,-37.6759286841
None,None,None,None,None,None,None,None,None,2,209066.0,179.295407198,450.799327398,178.355513163,831.029819334,-233.864830408,-355.211700977,-44.5626159509
None,None,None,None,None,None,None,None,None,2,209066.0,178.8715551,136.061612578,281.975230692,-325.730296868,-221.257901275,206.955315865,-24.3783752166
None,None,None,None,None,None,None,None,None,2,209066.0,179.225752619,-41.6624135107,193.832681652,662.940965449,-241.79205106,-704.877016287,29.8826358861
None,None,None,None,None,None,None,None,None,2,209066.0,179.096322722,-142.778679018,163.344606227,759.199240526,-198.360240801,972.38639323,-40.9455702603
None,None,None,None,None,None,None,None,None,2,209066.0,179.757976864,-676.839965039,200.509792743,-227.635761026,-157.241024845,464.820644639,-7.67658332199
None,None,None,None,None,None,None,None,None,2,209066.0,179.156969064,-728.924407571,216.896208284,758.489128998,-157.495277479,476.808817609,-44.4084923328
None,None,None,None,None,None,None,None,None,2,209066.0,179.901452658,-518.916341658,189.531444259,-424.084872684,-274.716410576,708.403618311,-25.4522533541
None,None,None,None,None,None,None,None,None,2,209066.0,179.544438845,-795.551849923,194.51022416,278.804475756,-172.28800745,620.625267356,-35.1338959071
None,None,None,None,None,None,None,None,None,2,209066.0,178.328039576,-638.7666078,223.447646477,-678.693748992,-348.093536614,326.360609311,7.26162059933
None,None,None,None,None,None,None,None,None,3,235066.0,178.819494524,374.522895048,252.336610114,133.104325022,-323.361053587,-803.119381736,22.8056660034
None,None,None,None,None,None,None,None,None,3,235066.0,178.477554582,840.846112532,280.164200777,507.223240079,-254.506249992,-206.7485023,10.1970032386
None,None,None,None,None,None,None,None,None,3,235066.0,179.383722236,315.154411614,190.322278142,967.251219327,-269.519827045,-638.419538312,-19.9861461597
None,None,None,None,None,None,None,None,None,3,235066.0,178.987964694,-323.450492242,252.309987009,-396.095810661,-373.527033789,-90.9049688635,14.9216379489
None,None,None,None,None,None,None,None,None,3,235066.0,178.880603083,505.384719975,277.448429761,-35.3128722534,-203.206768004,-531.703339634,1.08430441988
