AverageAngleError,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,PV_Panels,bomCost,BattCap,GyroSize
0.085115292,1.756800977,16.03162411,8.654802987,None,100,3.999595808,2,209066,98.11953603,821.9733473
0.08511524,1.756795634,16.03162455,5.413520981,None,100,4.254831865,2,209066,236.9687557,514.144296
0.085115261,1.756793536,16.03162394,8.145254832,None,100,4.381141053,2,209066,329.0399997,773.5902391
0.085115209,1.756796203,16.03162442,5.381593873,None,100,4.393080551,2,209066,337.6445823,511.1101233
0.085115249,1.756802858,16.03162352,3.776532054,None,100,4.322162924,2,209066,283.1810546,358.6871714
0.085115254,1.756795808,16.03162355,5.293975851,None,100,4.516225103,2,209066,445.8440913,501.9692931
0.085115226,1.756799984,16.03162367,6.173322157,None,100,4.400281185,2,209066,343.7791315,585.8149883
0.08511526,1.756799967,16.03162264,3.460048405,None,100,4.0933623,2,209066,142.4761341,327.8213218
0.085115166,1.756797041,16.03162268,3.817088277,None,100,4.120375539,2,209066,156.6872821,362.6719111
0.085115191,1.756796161,16.03162281,7.077150371,None,100,4.395458726,2,209066,340.1063985,672.147181
0.085115212,1.756799736,16.03162257,1.499361906,None,100,4.146280016,2,209066,170.6404707,142.3121861
0.085115194,1.756795725,16.03162328,9.370129287,None,100,4.470036791,2,209066,404.8904394,889.923345
0.0851152,1.756795602,16.03162262,9.595435584,None,100,3.918065348,2,209066,63.91994621,911.3641475
0.085115187,1.75679712,16.03162435,6.606969401,None,100,4.505812346,2,209066,436.639242,627.4920868
0.085115224,1.756795079,16.03162335,9.386424554,None,100,4.555655403,2,209066,487.3381848,891.4706034
0.085115359,1.756795998,16.03162281,8.748055611,None,100,4.127115463,2,209066,160.868872,830.8497821
0.085115265,1.756796191,16.03162398,8.948568411,None,100,4.321746289,2,209066,284.0946195,849.8349855
0.085115193,1.756795122,16.03162362,7.064226806,None,100,4.467513,2,209066,401.5451691,670.9208166
0.085115231,1.756795774,16.03162279,10.30623672,None,100,4.111999042,2,209066,152.9010732,978.8255402
0.085115245,1.756797164,16.03162422,7.329698173,None,100,4.273838826,2,209066,250.0141193,696.09434
0.085115153,1.75679653,16.03162269,8.924674467,None,100,4.012058761,2,209066,103.7145959,847.6102218
0.085115286,1.7567969,16.03162265,2.390725241,None,100,4.145950379,2,209066,170.5560288,227.0961749
0.085115218,1.756797056,16.03162419,4.509931728,None,100,4.456226108,2,209066,390.4363729,428.3505296
0.085115138,1.75679608,16.03162266,9.430096015,None,100,4.155088406,2,209066,176.4874125,895.6329971
0.085115213,1.75679556,16.03162391,9.933349349,None,100,4.490737215,2,209066,424.152441,943.4067476
0.085115297,1.756802109,16.03162413,2.501074986,None,100,4.491309044,2,209066,421.1541969,237.5445152
0.085115241,1.756805374,16.03162265,7.367287481,None,100,4.076067434,2,209066,134.0560779,699.6936479
0.085115268,1.756797903,16.0316239,8.025993164,None,100,4.254627713,2,209066,237.3085511,762.2871812
0.085115292,1.756795846,16.0316235,9.636228277,None,100,4.516081977,2,209066,448.1263633,915.1914541
0.085115273,1.756799958,16.03162375,10.48789281,None,100,4.324372689,2,209066,286.4063034,996.0697091
0.08511519,1.756796219,27.02979652,7.270253824,None,100,4.579550207,3,235066,420.2491416,690.4852376
0.085115264,1.75679828,27.02979483,8.795005216,None,100,4.232865632,3,235066,101.1199744,835.2971673
0.08511526,1.756795625,27.02979516,4.349586621,None,100,4.594950655,3,235066,434.3988965,413.0948654
0.085115262,1.756798438,27.02979745,9.816435673,None,100,4.485393225,3,235066,333.0322732,932.4516668
0.085115247,1.756797109,27.02979501,5.566439741,None,100,4.294752831,3,235066,163.7507941,528.6665077
0.08511521,1.756795569,27.02979659,8.480990662,None,100,4.518392333,3,235066,363.1224406,805.4733712
0.085115223,1.756800606,27.02979629,6.565869537,None,100,4.609270843,3,235066,448.7288005,623.8400113
0.085115224,1.75679629,27.02979693,4.612483964,None,100,4.64018355,3,235066,478.6835686,438.0674454
0.085115394,1.756797971,27.02979782,4.804546339,None,100,4.458146516,3,235066,307.8463701,456.4214392
0.085115214,1.756795492,27.02979497,0.746293091,None,100,4.338404444,3,235066,202.5425492,70.87850946
0.085115192,1.756797005,27.0297958,5.906967694,None,100,4.210870307,3,235066,69.35909576,561.2375408
0.085115198,1.756799521,27.02979702,4.546426839,None,100,4.599121032,3,235066,438.4435399,431.897035
0.08511528,1.756796095,27.02979486,2.007343592,None,100,4.305938328,3,235066,173.714483,190.6364586
0.085115289,1.756800138,27.02979506,9.954173858,None,100,4.250324774,3,235066,120.6827248,945.3846807
0.085115269,1.756799643,27.02979613,5.463306317,None,100,4.446171483,3,235066,297.2934913,518.3509843
0.085115318,1.756800308,27.02979635,0.953908714,None,100,4.475476239,3,235066,322.8507459,90.58898175
0.085115276,1.756795087,27.02979702,2.197733643,None,100,4.637186199,3,235066,475.1698727,208.7224163
0.085115305,1.756795755,27.02979506,8.66242108,None,100,4.306993306,3,235066,175.0877852,822.7064973
0.085115259,1.756796109,27.0297955,3.188057006,None,100,4.217624986,3,235066,80.7318712,302.1436366
0.085115304,1.756794395,27.02979505,3.163988125,None,100,4.29423988,3,235066,163.1060408,300.0891067
0.085115312,1.756798372,27.02979764,4.280535445,None,100,4.4768163,3,235066,324.4833425,406.1950335
0.08511523,1.756796936,27.02979734,4.115646364,None,100,4.49125025,3,235066,337.4725203,390.880156
