AverageAngleError,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,PV_Panels,bomCost,BattCap,GyroSize,ixx
0.085115261,1.756796317,27.02979497,52.62866469,None,100,4.231021693,3,235066,100.8903727,212.0411203,1.566784871
0.085115185,1.756801048,27.02979519,52.64727309,None,100,4.388101418,3,235066,252.276018,417.8791689,1.462039593
0.085115264,1.756796016,27.029798,52.64589716,None,100,4.600031886,3,235066,454.3685034,557.4314063,1.245899246
0.085115254,1.756798674,27.02979493,52.65232848,None,100,4.256109479,3,235066,128.9925615,89.55199606,1.557367238
0.085115224,1.756796805,27.02979509,52.64631768,None,100,4.210264207,3,235066,69.86221497,862.6368054,1.405083782
0.08511523,1.756799525,27.02979764,52.64629525,None,100,4.476115515,3,235066,333.0962085,525.5158462,1.825293922
0.085115209,1.756795525,27.02979635,52.62244405,None,100,4.634537041,3,235066,490.1822409,544.7750027,0.954078267
0.085115188,1.756796646,27.029797,52.65017855,None,100,4.483600376,3,235066,340.085891,979.2620007,1.882818708
0.085115326,1.75680109,27.0297951,52.64635855,None,100,4.311571594,3,235066,182.7232815,350.9820074,0.80047305
0.085115337,1.756796594,38.02797105,52.64699762,None,100,4.481993845,4,249066,248.4974568,99.26830328,0.904715908
0.085115274,1.756796051,38.02796771,52.64613262,None,100,4.558405432,4,249066,333.7885748,359.0989464,1.679832548
0.085115152,1.756796919,38.02796732,52.64600709,None,100,4.398538256,4,249066,123.544112,53.18037586,1.383588925
0.085115258,1.756798077,38.02796754,52.65349428,None,100,4.389026754,4,249066,93.75840879,876.7611593,1.530780483
0.085115223,1.756796812,38.02797031,52.64577323,None,100,4.501811807,4,249066,271.3613577,676.5880791,1.795544661
0.085115197,1.756795072,38.02796977,52.64593824,None,100,4.508718706,4,249066,279.260242,715.1511661,0.982089551
0.08511519,1.756802968,38.02797327,52.62447576,None,100,4.66498585,4,249066,446.4568743,641.718823,1.563375976
0.085115236,1.756796994,38.02796989,52.64619309,None,100,4.661269607,4,249066,442.5683997,255.2260939,1.655937836
