Angle,AverageAngleError,BattCap,BattX,BattZ,bomCost,CfgID,CompX,CompZ,D_CtrlGain,Dist_1_2,Dist_1_3,Dist_2_3,GUID,GyroSize,GyroX,GyroZ,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxGyroTemp,MaxTemperature,MinBatteryCharge,MinBusVoltage,P_CtrlGain,PV_Panels
179.178415583,0.00373424152615,589.12802769,172.490700723,183.122987966,224066.0,cfg1,764.636979522,411.767853499,0.247579679857,2128.00443331,1398.76933959,908.523907242,0077bbf0-7063-4b45-896b-d93f726bbfda,2862.78174723,209.598988221,239.740916015,338530.763821,1,62240.6333284,115005.606048,161284.524444,5720.002434829983,0.11037066563,17.4567584757,1.3826605817,583.355345194,336.41455732,100,15.9141308892,1.66369253643,2
179.464313831,0.00321892314146,721.431519033,773.327537822,211.244057166,224066.0,cfg1,526.476110501,283.401201055,2.9724208633,2064.31337411,1468.71858138,699.029527692,b009b0a6-c6f9-410e-bcac-90823ca358b9,2800.17695792,334.637487245,6.89369230165,338090.644816,0,61588.5083842,115069.588897,161432.547535,5715.454416764508,0.143444556903,17.5023796596,2.60988848062,1503.22680347,459.998756176,100,15.8348046502,0.546903305326,2
179.619844111,0.00583429167868,261.602145245,241.600627941,150.314993553,224066.0,cfg1,770.38229687,172.408407834,0.437567121566,2041.16357263,1266.57651452,838.21129338,df5a9fca-459e-4a0e-9c93-9142802542e1,1956.58932514,16.0398278517,126.281338439,328438.264863,1,57476.484519,114439.916217,156521.864126,5654.1707380564985,0.169493340049,17.2146948859,1.41012354996,600.183545105,333.794765594,100,15.4991885206,2.05085544449,2
179.483295705,0.00201629253982,524.23110592,249.209277688,296.22698179,224066.0,cfg1,423.776182919,59.1991907125,0.232354033486,2034.89624802,1421.38091109,713.55152452,448d8186-5131-446c-a321-f46cbd062cad,2786.44271617,468.37883707,60.2072230743,339150.689769,0,61541.4818996,115668.030212,161941.177657,5714.456672338581,0.0602835788564,17.4277607935,1.13713316387,570.031398805,326.434197587,100,15.8818530505,1.34444380664,2
179.52137579,0.00081462525552,733.314604853,398.697702044,184.162911111,224066.0,cfg1,941.210994935,36.5727681916,0.690393854587,2050.28738503,1266.60360646,859.42045778,b824714e-a754-443e-8519-8b33531a2cc2,1917.57828462,220.484258029,373.703083797,330154.90222,1,58012.6797781,115500.309971,156641.91247,5651.336722975982,0.0243197660437,17.5058012432,0.431636957477,436.894833935,300.924798028,100,15.9929085648,1.13996068713,2
179.65023798,0.00204519018605,566.438206899,574.946159538,136.547972031,224066.0,cfg1,538.237170193,52.9712307953,0.491738165852,1946.89283683,1294.90153399,656.378413398,db874dd5-2205-407b-8f84-2feab1b5b47b,2225.19924605,494.665683959,199.703346153,334256.072263,0,58934.7694018,116034.255098,159287.047763,5673.684305410455,0.0607363619535,17.447223631,0.820491341286,492.386686671,315.550670192,100,15.9113193465,1.36115597299,2
179.28307762,0.00783952080359,601.080277174,755.851606157,21.6234791311,224066.0,cfg1,388.427111521,195.002420168,1.40505560649,1866.93615256,1342.79033301,766.52528755,7e8960a1-b81a-4cda-9dfc-67a7e1bfa5b7,1724.25242367,200.730163802,214.420513883,327003.896222,0,56492.4193955,114880.380351,155631.096476,5637.29227816883,0.226370313007,17.4615487092,3.17528683238,803.469836797,350.295368523,100,15.8881662701,2.43607806451,2
179.937947973,0.00607801813202,410.720387637,578.686720017,178.810321215,224066.0,cfg1,844.701571182,245.31864838,0.573089752376,2006.78346344,1418.0043519,705.469530613,d8c5da0d-4d0a-4bcc-a079-56220082a210,2534.37750651,931.626269343,468.883280309,347145.387343,3,61628.8473642,120890.571501,164625.968478,5696.1450201496,0.175988366955,17.3606855494,1.7490731067,642.447609826,340.710116731,100,15.7585297573,2.09825214234,2
179.923696667,0.00420210311689,290.228003569,230.764137831,71.2138598295,224066.0,cfg1,101.622901919,401.101957637,2.89707264273,1923.96410111,1302.01694595,740.272663205,0a7da033-0ea7-481e-847e-2920f62d2f65,2091.40425359,24.4105760042,279.5480832,330490.188708,0,58562.842365,114767.772055,157159.574288,5663.964569117204,0.215327007844,17.25051041,3.4904809061,1465.50660875,444.748438393,100,15.2407093496,1.65900808459,2
179.413913931,0.00095484350666,496.418826726,672.977451001,236.408352274,224066.0,cfg1,8.78430899904,1.91175024295,0.686540380823,1979.35860101,1457.30434068,958.457712289,57ce8671-1ce5-401d-a829-a979230a97c7,2339.02411421,35.5305764053,277.923816687,332909.406051,0,59698.6267756,114830.85334,158379.925935,5681.953282310946,0.0413648741058,17.4135506191,0.613906887186,469.548896105,298.793255171,100,15.872175307,0.840090750836,2
179.603919379,0.00228214987545,380.277728294,389.034011888,204.194841033,224066.0,cfg1,15.8547216307,131.930006976,0.989226057337,2164.0564213,1431.40513047,752.984056218,b14f4fe3-5e91-469b-964b-62ffeee69f1f,2817.03512038,721.961187809,289.948129243,344102.333248,0,62210.9912667,117967.6316,163923.710381,5716.679103058512,0.0654768738252,17.3376769516,0.79653431088,513.470649177,319.332501481,100,15.7403979205,0.583892484345,2
179.484008461,0.00104110455326,750.462490743,732.148114375,42.8267570432,224066.0,cfg1,200.714296351,159.220878717,0.835760730109,2066.76635767,1317.34736418,847.625798628,805eb281-0e8f-4ac6-b967-ba7caa0e8625,2190.06970962,919.150339814,264.591015896,341349.722179,2,58918.7469134,119778.376141,162652.599125,5671.132267968858,0.0303974479968,17.5105773945,0.311697996836,430.656903048,303.423615047,100,15.9960986097,1.18593141234,2
179.196160585,0.00830597359818,144.834888128,701.042819028,8.25703185258,224066.0,cfg1,669.808202264,280.070177165,2.37554568797,1969.21402636,1375.91114519,705.236121628,13756fb4-8db7-4e01-a072-8addb8b7c015,1940.85372934,138.033120776,181.230838305,328695.377176,0,57441.469141,114705.822044,156548.085991,5653.027602287727,0.288929050238,16.9985497253,4.36584653193,1246.19899341,411.899997725,100,14.5749179967,2.47020962609,2
179.38404303,0.000622607323873,431.502895128,19.0259664183,206.52220853,224066.0,cfg1,409.484666804,98.7355288266,1.73057174423,1901.79451984,1335.02803882,765.882474684,8d5f0067-f2bb-4e0e-a80a-584656a41dfa,1914.10415497,508.131322293,295.47050244,331789.789331,0,57666.7814793,116354.403745,157768.604107,5651.084339658179,0.0510473741991,17.3749744962,0.829566641371,793.656168114,375.07709151,100,15.7686103734,0.95815618818,2
